iter	RMSE
0	0.9774485744
1	0.9567438083
2	0.9398892018
3	0.9197419563
4	0.9047323827
5	0.8905518637
6	0.873662984
7	0.8565690007
8	0.8398641466
9	0.8246581738
10	0.8157567707
11	0.8035184821
12	0.7901324681
13	0.7766574914
14	0.7627045754
15	0.7550954126
16	0.7436735805
17	0.7337953551
18	0.7253901249
19	0.7196018469
20	0.7115436355
21	0.7026420309
22	0.6929183706
23	0.6843034359
24	0.6749887789
25	0.6684854448
26	0.6606970559
27	0.6520908684
28	0.6435408921
29	0.6383022223
30	0.6322078302
31	0.6269666735
32	0.6215180744
33	0.6164050946
34	0.6096891748
35	0.6044243908
36	0.5994462484
37	0.5944197389
38	0.5904375584
39	0.5853587036
40	0.5821783327
41	0.5785244336
42	0.5747120161
43	0.5706904012
44	0.5675543057
45	0.5655641099
46	0.562271404
47	0.5593496831
48	0.5556270466
49	0.5521707832
50	0.5492164234
51	0.5475140214
52	0.5447004547
53	0.5412071108
54	0.5366065607
55	0.533976089
56	0.5312728691
57	0.5287498234
58	0.5252275031
59	0.5221895002
60	0.520243586
61	0.5183101335
62	0.5152415794
63	0.5133254792
64	0.5112244689
65	0.5086528462
66	0.5067511563
67	0.5048720767
68	0.5032706178
69	0.5010346104
70	0.4992167456
71	0.4977146178
72	0.4956678143
73	0.4936517096
74	0.491342523
75	0.4884861832
76	0.4863217765
77	0.4843742938
78	0.4825477409
79	0.4807232694
80	0.4785279231
81	0.4771396918
82	0.4758189498
83	0.4740787032
84	0.4721286024
85	0.4711286542
86	0.4692923995
87	0.4677102594
88	0.4662478183
89	0.4644944803
90	0.4627973864
91	0.461625619
92	0.4603202945
93	0.459320037
94	0.4578335916
95	0.4568006259
96	0.4556195992
97	0.4541496109
98	0.4529381559
99	0.4518752352
100	0.4505498591
101	0.4493427256
102	0.4480447717
103	0.4465350188
104	0.4454934415
105	0.4440954447
106	0.4427912156
107	0.4413831056
108	0.4401060817
109	0.4387483203
110	0.4375533489
111	0.4364619045
112	0.4355504521
113	0.4343543632
114	0.4329033431
115	0.4319514094
116	0.4310822578
117	0.4295605066
118	0.4289091008
119	0.4282671196
120	0.4270794467
121	0.426280058
122	0.4249711984
123	0.4239822039
124	0.4227771491
125	0.4213376439
126	0.4196866245
127	0.4182719227
128	0.4170704146
129	0.4159508827
130	0.4147074483
131	0.4134714419
132	0.4122542289
133	0.4109922613
134	0.4101210218
135	0.4095947579
136	0.4087808372
137	0.4075769501
138	0.4064632238
139	0.4054982346
140	0.4047419978
141	0.4041147771
142	0.4031588433
143	0.4023227069
144	0.4016421958
145	0.4007011367
146	0.3994350635
147	0.3980918059
148	0.3966638168
149	0.3954033688
150	0.3946297762
151	0.3936034404
152	0.3929019165
153	0.3916626099
154	0.3905370343
155	0.3897032851
156	0.3887902343
157	0.3877947253
158	0.3873569303
159	0.3864332098
160	0.3854310125
161	0.3841089605
162	0.3835232453
163	0.382318654
164	0.3814849075
165	0.3810831607
166	0.3802330434
167	0.3789942406
168	0.3778647565
169	0.3763648399
170	0.3748847865
171	0.3743886954
172	0.3733543567
173	0.3727321042
174	0.3723022685
175	0.3716241787
176	0.3708584263
177	0.370480446
178	0.3692413777
179	0.3685542124
180	0.3676473579
181	0.3665535944
182	0.3655417494
183	0.3648254985
184	0.3642861988
185	0.3635203209
186	0.3625091221
187	0.3621897611
188	0.3614285508
189	0.3605550852
190	0.3598122442
191	0.3584319902
192	0.3574499346
193	0.356873855
194	0.3560020159
195	0.3557413573
196	0.3550135924
197	0.3539259084
198	0.3529445837
199	0.3519021523
200	0.3515023732
201	0.3510810226
202	0.3502387596
203	0.3498245849
204	0.348693698
205	0.3479140597
206	0.3469319979
207	0.3462890777
208	0.3456308562
209	0.3449421468
210	0.3443106895
211	0.3429182238
212	0.3417864281
213	0.3409164677
214	0.3400171931
215	0.3397839002
216	0.3384446323
217	0.3372952237
218	0.3361321936
219	0.3349998313
220	0.3339438756
221	0.3332479504
222	0.3325225956
223	0.3319870839
224	0.331293203
225	0.3303818533
226	0.3290128194
227	0.3282426588
228	0.3275125076
229	0.3272842375
230	0.3270683313
231	0.3264995171
232	0.3253779996
233	0.3249050481
234	0.3240832822
235	0.3232126572
236	0.3222357989
237	0.3217643079
238	0.3207887877
239	0.320004573
240	0.3189489561
241	0.3186977104
242	0.3177528544
243	0.3169641994
244	0.3167424727
245	0.3157661086
246	0.3150137631
247	0.3143442772
248	0.3137030894
249	0.3125551342
