iter	Passed	Remaining
0	7	1848
1	9	1219
2	11	972
3	13	851
4	15	774
5	21	883
6	24	867
7	26	814
8	28	772
9	30	739
10	33	725
11	39	778
12	41	754
13	43	730
14	45	709
15	48	710
16	53	736
17	55	720
18	57	703
19	59	687
20	62	678
21	67	703
22	70	697
23	72	684
24	74	672
25	76	660
26	81	677
27	85	676
28	87	665
29	89	655
30	91	644
31	93	637
32	98	647
33	101	645
34	103	636
35	105	627
36	107	618
37	111	623
38	116	629
39	118	621
40	120	613
41	122	606
42	124	600
43	130	609
44	133	607
45	136	604
46	138	599
47	147	621
48	151	622
49	154	618
50	158	617
51	165	631
52	168	626
53	170	619
54	175	622
55	179	620
56	181	613
57	183	606
58	185	599
59	187	593
60	195	605
61	197	599
62	199	592
63	202	587
64	207	591
65	211	588
66	213	582
67	215	575
68	217	569
69	219	564
70	224	567
71	227	562
72	229	556
73	231	551
74	233	545
75	239	547
76	242	544
77	244	539
78	247	534
79	249	529
80	254	530
81	258	528
82	260	523
83	262	518
84	263	512
85	268	512
86	272	510
87	274	505
88	276	500
89	278	495
90	280	489
91	285	491
92	288	486
93	290	482
94	292	477
95	294	472
96	297	469
97	302	468
98	304	464
99	306	460
100	308	455
101	310	450
102	316	451
103	320	449
104	322	444
105	324	440
106	326	435
107	329	433
108	334	432
109	337	428
110	339	424
111	341	420
112	343	415
113	348	415
114	351	412
115	353	408
116	355	403
117	357	399
118	359	396
119	364	395
120	367	391
121	369	387
122	371	383
123	373	379
124	384	384
125	387	381
126	392	380
127	398	379
128	400	375
129	402	371
130	404	367
131	409	366
132	413	364
133	416	360
134	418	356
135	420	352
136	426	351
137	430	349
138	432	345
139	435	341
140	437	337
141	444	337
142	446	334
143	448	330
144	450	325
145	452	322
146	457	320
147	461	317
148	463	313
149	465	310
150	466	306
151	469	302
152	475	301
153	478	298
154	480	294
155	482	290
156	487	288
157	491	286
158	493	282
159	496	279
160	498	275
161	500	271
162	506	270
163	508	266
164	510	263
165	512	259
166	514	255
167	520	254
168	524	251
169	526	247
170	528	244
171	530	240
172	536	238
173	541	236
174	544	233
175	547	230
176	569	235
177	572	231
178	575	228
179	581	226
180	585	223
181	587	219
182	589	215
183	591	212
184	599	210
185	601	206
186	603	203
187	605	199
188	610	196
189	615	194
190	617	190
191	619	187
192	621	183
193	627	181
194	632	178
195	634	174
196	636	171
197	640	168
198	645	165
199	648	162
200	650	158
201	652	155
202	656	151
203	661	149
204	664	145
205	666	142
206	669	139
207	675	136
208	678	133
209	680	129
210	682	126
211	686	123
212	691	120
213	694	116
214	696	113
215	699	110
216	704	107
217	709	104
218	711	100
219	713	97
220	715	93
221	722	91
222	725	87
223	727	84
224	729	81
225	732	77
226	740	74
227	742	71
228	744	68
229	746	64
230	754	62
231	757	58
232	759	55
233	761	52
234	764	48
235	771	45
236	773	42
237	775	39
238	777	35
239	784	32
240	789	29
241	792	26
242	795	22
243	802	19
244	804	16
245	806	13
246	808	9
247	811	6
248	816	3
249	819	0
