;regimen
490;control
575;control
590;control
605;control
610;control
635;control
645;control
675;control
680;control
720;control
540;control
645;control
720;control
720;control
720;control
720;control
720;control
720;control
720;control
720;control
495;NK603-11%
540;NK603-11%
585;NK603-11%
607.5;NK603-11%
630;NK603-11%
639;NK603-11%
648;NK603-11%
648;NK603-11%
648;NK603-11%
648;NK603-11%
495;NK603-22%
540;NK603-22%
544.5;NK603-22%
549;NK603-22%
585;NK603-22%
607.5;NK603-22%
630;NK603-22%
648;NK603-22%
648;NK603-22%
648;NK603-22%
90;NK603-33%
382.5;NK603-33%
405;NK603-33%
450;NK603-33%
454.5;NK603-33%
540;NK603-33%
585;NK603-33%
648;NK603-33%
648;NK603-33%
648;NK603-33%
516;NK603-11%+R
708;NK603-11%+R
720;NK603-11%+R
750;NK603-11%+R
756;NK603-11%+R
762;NK603-11%+R
768;NK603-11%+R
780;NK603-11%+R
792;NK603-11%+R
840;NK603-11%+R
144;NK603-22%+R
420;NK603-22%+R
426;NK603-22%+R
660;NK603-22%+R
720;NK603-22%+R
750;NK603-22%+R
762;NK603-22%+R
816;NK603-22%+R
864;NK603-22%+R
864;NK603-22%+R
360;NK603-33%+R
540;NK603-33%+R
588;NK603-33%+R
600;NK603-33%+R
750;NK603-33%+R
780;NK603-33%+R
828;NK603-33%+R
864;NK603-33%+R
864;NK603-33%+R
864;NK603-33%+R
862.5;RoundUp A
937.5;RoundUp A
952.5;RoundUp A
975;RoundUp A
1050;RoundUp A
1080;RoundUp A
1080;RoundUp A
1080;RoundUp A
1080;RoundUp A
1080;RoundUp A
600;RoundUp B
648;RoundUp B
654;RoundUp B
690;RoundUp B
810;RoundUp B
822;RoundUp B
828;RoundUp B
864;RoundUp B
864;RoundUp B
864;RoundUp B
594;RoundUp C
643.5;RoundUp C
649;RoundUp C
665.5;RoundUp C
687.5;RoundUp C
698.5;RoundUp C
726;RoundUp C
770;RoundUp C
792;RoundUp C
792;RoundUp C
304;NK603-11%
336;NK603-11%
376;NK603-11%
512;NK603-11%
540;NK603-11%
576;NK603-11%
576;NK603-11%
576;NK603-11%
576;NK603-11%
576;NK603-11%
319;NK603-22%
522.5;NK603-22%
528;NK603-22%
561;NK603-22%
605;NK603-22%
610.5;NK603-22%
715;NK603-22%
792;NK603-22%
792;NK603-22%
792;NK603-22%
1280;NK603-33%
1300;NK603-33%
1310;NK603-33%
1380;NK603-33%
1390;NK603-33%
1440;NK603-33%
1440;NK603-33%
1440;NK603-33%
1440;NK603-33%
1440;NK603-33%
990;NK603-11%+R
1080;NK603-11%+R
1089;NK603-11%+R
1125;NK603-11%+R
1296;NK603-11%+R
1296;NK603-11%+R
1296;NK603-11%+R
1296;NK603-11%+R
1296;NK603-11%+R
1296;NK603-11%+R
594;NK603-22%+R
660;NK603-22%+R
720;NK603-22%+R
732;NK603-22%+R
738;NK603-22%+R
756;NK603-22%+R
810;NK603-22%+R
864;NK603-22%+R
864;NK603-22%+R
864;NK603-22%+R
505;NK603-33%+R
510;NK603-33%+R
655;NK603-33%+R
660;NK603-33%+R
680;NK603-33%+R
720;NK603-33%+R
720;NK603-33%+R
720;NK603-33%+R
720;NK603-33%+R
720;NK603-33%+R
432.25;RoundUp A
441.75;RoundUp A
513;RoundUp A
617.5;RoundUp A
665;RoundUp A
684;RoundUp A
684;RoundUp A
684;RoundUp A
684;RoundUp A
684;RoundUp A
403;RoundUp B
747.5;RoundUp B
812.5;RoundUp B
819;RoundUp B
832;RoundUp B
936;RoundUp B
936;RoundUp B
936;RoundUp B
936;RoundUp B
936;RoundUp B
272;RoundUp C
400;RoundUp C
432;RoundUp C
540;RoundUp C
544;RoundUp C
560;RoundUp C
572;RoundUp C
576;RoundUp C
576;RoundUp C
576;RoundUp C
